City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Todos Santos,MX,2020-01-04 02:09:30,23.45,-110.23,71.01,63,5,9.17
131,Butaritari,KI,2020-01-04 02:09:11,3.07,172.79,84.0,74,100,8.01
132,Georgetown,GY,2020-01-04 02:09:30,6.8,-58.16,80.6,78,20,6.93
133,Narasannapeta,IN,2020-01-04 02:09:30,18.42,84.04,71.51,80,71,1.86
134,Meulaboh,ID,2020-01-04 02:09:30,4.14,96.13,80.24,77,0,5.19
135,New Norfolk,AU,2020-01-04 02:09:16,-42.78,147.06,80.6,34,36,21.92
136,Pochutla,MX,2020-01-04 02:09:31,15.74,-96.47,80.6,74,40,3.36
137,Khandyga,RU,2020-01-04 02:09:31,62.65,135.58,-28.34,94,0,0.78
138,Buraydah,SA,2020-01-04 02:09:31,26.33,43.97,55.4,76,40,4.7
139,Vyartsilya,RU,2020-01-04 02:09:31,62.18,30.69,28.72,75,30,6.91
140,Contamana,PE,2020-01-04 02:09:31,-7.35,-75.01,74.03,96,56,4.61
141,Leningradskiy,RU,2020-01-04 02:09:32,69.38,178.42,-6.61,74,85,10.36
142,Mehamn,NO,2020-01-04 02:09:32,71.03,27.85,31.28,83,85,14.9
143,Sioux Lookout,CA,2020-01-04 02:09:32,50.1,-91.92,15.8,92,90,6.93
144,Taylorville,US,2020-01-04 02:09:32,39.55,-89.29,37.0,80,90,5.82
145,San Patricio,PY,2020-01-04 02:09:32,-26.98,-56.83,72.9,64,0,4.72
146,Ajaccio,FR,2020-01-04 02:09:32,41.93,8.74,57.2,76,90,3.36
147,Ponta Do Sol,BR,2020-01-04 02:09:33,-20.63,-46.0,67.51,96,100,3.76
148,Nishihara,JP,2020-01-04 02:09:33,35.74,139.53,53.01,46,75,19.46
149,Taldan,RU,2020-01-04 02:09:33,53.69,124.82,-4.09,86,0,5.97
150,North Platte,US,2020-01-04 02:09:07,41.12,-100.77,30.99,80,90,4.79
151,Mount Pleasant,US,2020-01-04 02:08:42,33.16,-94.97,53.01,62,1,8.05
152,Victoria,BN,2020-01-04 02:09:06,5.28,115.24,84.2,74,75,5.82
153,Yantzaza,EC,2020-01-04 02:09:34,-3.83,-78.76,57.18,98,70,1.07
154,Axim,GH,2020-01-04 02:09:34,4.87,-2.24,72.34,60,44,3.62
155,College,US,2020-01-04 02:09:34,64.86,-147.8,-23.8,67,1,3.83
156,Provideniya,RU,2020-01-04 02:09:24,64.42,-173.23,-14.26,72,0,9.13
157,Rio Gallegos,AR,2020-01-04 02:06:08,-51.62,-69.22,51.8,57,20,14.99
158,Broome,GB,2020-01-04 02:09:35,52.47,1.45,41.0,86,66,11.41
159,Swinoujscie,PL,2020-01-04 02:09:35,53.91,14.25,37.99,93,75,10.29
160,Iracoubo,GF,2020-01-04 02:09:35,5.48,-53.21,79.97,80,100,13.89
161,Gewane,ET,2020-01-04 02:09:35,10.16,40.66,72.97,66,0,8.66
162,Klaksvik,FO,2020-01-04 02:09:35,62.23,-6.59,32.0,70,65,13.87
163,Kieta,PG,2020-01-04 02:09:36,-6.22,155.63,84.4,63,100,2.89
164,Shagonar,RU,2020-01-04 02:09:36,51.54,92.92,-15.05,98,70,1.23
165,Hithadhoo,MV,2020-01-04 02:05:31,-0.6,73.08,82.8,68,0,1.5
166,Tautira,PF,2020-01-04 02:09:36,-17.73,-149.15,86.0,66,75,13.87
167,Razdolinsk,RU,2020-01-04 02:09:36,58.42,94.62,19.0,94,99,8.72
168,Semporna,MY,2020-01-04 02:09:36,4.48,118.61,78.8,88,75,3.36
169,Nago,IT,2020-01-04 02:09:37,45.88,10.89,37.99,100,18,3.36
