City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Lata,IN,9.12,overcast clouds,30.78,78.62,"The Goat Village, Dayara Bugyal"
167,Mabaruma,GY,74.37,few clouds,8.2,-59.78,
169,Veraval,FR,48.0,overcast clouds,49.65,0.71,Le Manoir aux Vaches
170,Long Xuyen,VN,77.0,few clouds,10.39,105.43,Mimosa 5 Hotel
171,Zhicheng,CN,34.11,light snow,35.04,112.59,Oriental Jianguo Hotel
172,Gornopravdinsk,RU,20.71,light snow,60.06,69.92,
173,Ngunguru,NZ,64.0,few clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
174,Vila Velha,BR,86.0,broken clouds,-3.71,-38.6,Hotel Iparana Paradise
175,Tuburan,PH,80.6,broken clouds,10.73,123.82,Dayangs Pension Haus
176,Sola,TZ,82.4,scattered clouds,-3.17,33.8,Peace Hotel
177,Poya,NC,77.86,clear sky,-21.35,165.16,
178,Kodiak,US,39.0,clear sky,39.95,-94.76,
181,Pedernales,EC,72.57,light rain,0.07,-80.05,L'Vanna Hotel
182,Camacha,PT,68.0,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
183,Qeshm,IR,75.2,haze,26.96,56.27,Kimia IV Hotel
184,Mar Del Plata,AR,59.58,overcast clouds,-46.43,-67.52,Hotel Costanera Del Sur
185,Lebu,ET,77.0,few clouds,8.96,38.73,Dah-Lak Guest House
188,Tasiilaq,GL,28.4,overcast clouds,65.61,-37.64,The Red House
189,Grindavik,IS,39.2,shower rain,63.84,-22.43,Northern Light Inn & Max's Restaurant
190,Monte Alegre,BR,77.18,broken clouds,-2.0,-54.07,Hotel Shekinah
191,Tessalit,ML,70.97,clear sky,20.2,1.01,
192,Castro,CL,51.8,broken clouds,-42.48,-73.76,Hotel Esmeralda
193,Pembroke,CA,19.0,light snow,45.82,-77.11,Econo Lodge Inn & Suites
194,Narsaq,GL,23.0,shower rain,60.91,-46.05,Hotel Narsaq
195,Flinders,AU,69.01,light rain,-34.58,150.85,Shellharbour Resort & Conference Centre
196,Qasigiannguit,GL,12.2,broken clouds,68.82,-51.19,
197,Nouadhibou,MR,69.8,few clouds,20.93,-17.03,El Medina
198,Kenora,CA,23.0,overcast clouds,49.76,-94.48,Clarion Lakeside Inn and Conference Centre
199,Chicama,PE,66.2,fog,-7.84,-79.15,Tiki Surf House
200,Anloga,GH,87.8,haze,5.79,0.9,BeatzWave Studios
201,Saint-Philippe,CA,28.0,light snow,45.36,-73.48,Camping St-Andre
202,Qingdao,CN,46.0,moderate rain,36.09,120.35,Old Observatory Youth Hostel Qingdao
203,Abu Dhabi,AE,84.2,scattered clouds,24.47,54.37,Beach Rotana
204,Taoudenni,ML,71.02,clear sky,22.68,-3.98,
205,Ancud,CL,51.8,broken clouds,-41.87,-73.83,HOTEL ANCUD DON LUCAS
206,Zhezkazgan,KZ,23.0,snow,47.8,67.71,Kvartiry Posutochno.
207,Komsomolskiy,RU,21.15,light snow,67.55,63.78,
208,Mathbaria,BD,68.38,scattered clouds,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
209,Banda Aceh,ID,76.24,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
210,Chernyshevskiy,RU,9.01,light snow,63.01,112.47,Chernyseyskiy
211,Huarmey,PE,68.85,overcast clouds,-10.07,-78.15,Hotel Miramar
212,Sistranda,NO,41.0,light rain,63.73,8.83,Hotell Frøya
213,Esperance,AU,73.4,clear sky,-33.86,121.89,Hospitality Esperance
214,Boa Vista,BR,78.8,few clouds,2.82,-60.67,Aipana Plaza Hotel
215,Sitka,US,47.71,scattered clouds,37.17,-99.65,
216,Faanui,PF,81.01,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
217,Kijang,KR,39.2,scattered clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
218,Vao,EE,29.19,overcast clouds,59.1,26.19,
220,Znin,PL,42.01,clear sky,52.85,17.72,Gosciniec Krys
221,Comodoro Rivadavia,AR,64.4,overcast clouds,-45.87,-67.48,Austral Hotel
222,Okhotsk,RU,8.4,broken clouds,59.36,143.24,Gostinitsa V Okhotske
223,Manta,RO,42.01,overcast clouds,45.1,24.1,Vila Calix
224,Missoula,US,30.2,scattered clouds,46.87,-114.0,Broadway Inn Missoula
226,Viedma,AR,66.56,few clouds,-40.81,-62.99,Hotel casa crespo
227,Mlonggo,ID,79.0,light rain,-6.53,110.7,Asia Metal Art
228,Shimoda,JP,41.0,few clouds,34.7,138.93,Shimoda Tokyu Hotel
229,Burns Lake,CA,26.17,broken clouds,54.23,-125.76,Burns Lake Bed and Breakfast
230,Bose,IT,57.2,clear sky,45.46,8.01,Locanda Borgo Antico
231,Ballina,IE,55.0,light intensity drizzle,54.11,-9.15,Ice House Hotel
232,Dogondoutchi,NE,78.26,few clouds,13.64,4.03,Hôtel Alheri Maison Alheri
234,Kuminskiy,RU,20.77,broken clouds,58.67,66.57,
236,Avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
237,Alcudia,ES,64.0,clear sky,39.85,3.12,Zafiro Tropic
238,Ustye,RU,30.36,light snow,58.76,27.79,"Baza Otdykha ""Ust'ye Rezort"""
239,Kudahuvadhoo,MV,83.32,clear sky,2.67,72.89,Kudahuvadhoo Retreat
240,Port Blair,IN,81.86,scattered clouds,11.67,92.75,Fortune Resort Bay Island
241,Monroe,US,32.0,broken clouds,41.91,-83.4,Baymont by Wyndham Monroe
242,Yerbogachen,RU,13.3,light snow,61.28,108.01,
243,Luderitz,,62.64,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
244,Auka,HN,72.82,few clouds,14.93,-83.83,
245,Pavino,RU,28.4,overcast clouds,55.02,82.61,Skyport Hotel
246,Torbay,CA,32.0,overcast clouds,47.66,-52.73,See The Sea
247,Marsh Harbour,BS,70.05,scattered clouds,26.54,-77.06,Abaco Beach Resort
248,Yulara,AU,66.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
249,Naryan-Mar,RU,14.59,broken clouds,67.67,53.09,Hostel Agat
251,Pacific Grove,US,51.01,few clouds,36.62,-121.92,Lovers Point Inn
252,Adwa,ET,75.11,scattered clouds,14.16,38.9,Maay Assa Hotel
253,Ketchikan,US,33.8,light rain,55.34,-131.65,Snows Cove Lodge
254,Tazovskiy,RU,20.14,scattered clouds,67.47,78.7,TazHostel
256,Thompson,CA,5.0,light snow,55.74,-97.86,Burntwood Hotel
258,Tuatapere,NZ,48.0,moderate rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
259,Dikson,RU,12.47,light snow,73.51,80.55,
260,Teahupoo,PF,78.8,broken clouds,-17.83,-149.27,Vanira Lodge
261,Kaitangata,NZ,50.0,scattered clouds,-46.28,169.85,Kaitangata Motor Camp
262,Half Moon Bay,US,48.99,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
263,Lorengau,PG,83.7,light rain,-2.02,147.27,Lorengau Harbourside Hotel
264,Ridgecrest,US,43.0,clear sky,35.62,-117.67,SpringHill Suites by Marriott Ridgecrest
265,Sinnamary,GF,79.61,light rain,5.38,-52.96,ALETHEIA Appartement Sinnamary
266,Lasa,CY,64.4,broken clouds,34.92,32.53,Lasa Heights Hotel
267,Champasak,LA,84.2,scattered clouds,14.89,105.88,Khamphouy Guesthouse
268,Mount Gambier,AU,50.0,broken clouds,-37.83,140.78,Best Western Southgate Motel
269,Buraydah,SA,62.6,clear sky,26.33,43.97,Mövenpick Hotel Qassim
271,Paithan,IN,75.2,haze,19.48,75.39,Hotel sanap
272,Sao Filipe,CV,72.84,clear sky,14.9,-24.5,Tortuga B&B
273,Lumsden,CA,21.99,clear sky,50.65,-104.86,Lumsden Hotel & Steak Pit
274,Auki,NG,81.45,broken clouds,12.18,6.51,
276,Hambantota,LK,87.8,few clouds,6.12,81.12,Bungalow 63
278,Jacareacanga,BR,75.07,light rain,-6.22,-57.76,Casa do Ian😎
279,Saint George,GR,48.2,light rain,39.45,22.34,MX PARK KYPARISSOS
280,Mago,RU,2.28,light snow,53.27,140.15,
281,Aden,YE,82.47,scattered clouds,12.79,45.03,Sama Emirate Hotel
282,Dosso,NE,79.74,clear sky,13.05,3.19,Hotel Toubal
284,Kavieng,PG,84.81,light rain,-2.57,150.8,Nusa Island Retreat
285,Dharchula,IN,25.27,broken clouds,29.85,80.53,Mahara Hotel
286,Usinsk,RU,19.13,light snow,66.0,57.56,Dobro Pozhalovaty
287,Altay,CN,12.11,clear sky,47.83,88.13,Jinqiao Hotel
288,Kidal,ML,70.47,clear sky,18.44,1.41,
289,Murupara,NZ,64.0,overcast clouds,-38.46,176.71,Murupara Motor Camp
290,Inzer,RU,23.59,light snow,54.22,57.56,
291,Samarai,PG,78.46,light rain,-10.62,150.67,Nuli Sapi
293,Vendome,FR,48.2,overcast clouds,47.44,-0.57,Hôtel de France
294,Freeport,BS,66.2,few clouds,26.54,-78.7,Castaways Resort & Suites
295,Synya,RU,22.26,light snow,65.37,58.04,
296,Yershichi,RU,32.45,overcast clouds,53.67,32.75,
297,Caernarfon,GB,51.01,light rain,53.14,-4.27,Taldrwst Farmhouse
299,Clearlake,US,45.0,clear sky,38.96,-122.63,Americas Best Value Inn & Suites Clearlake Wine Country
300,Kanth,IN,60.03,few clouds,29.06,78.63,Akash Vishnoi
301,Ewa Beach,US,75.2,light intensity drizzle,21.32,-158.01,Parkside By Gentry
302,Ahipara,NZ,64.99,broken clouds,-35.17,173.16,Ahipara Holiday Park
303,Oranjestad,AW,80.6,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
304,Baturinskaya,RU,41.0,clear sky,45.79,39.37,
305,Doha,QA,68.0,broken clouds,25.29,51.53,Mövenpick Hotel Doha
306,Arman,RU,19.85,scattered clouds,59.7,150.17,
307,Port Lincoln,AU,61.03,broken clouds,-34.72,135.86,Port Lincoln Hotel
308,Carutapera,BR,78.26,light rain,-1.2,-46.02,Lidera
309,San Patricio,PY,84.83,clear sky,-26.98,-56.83,"Granja ""La Blanca"""
310,Kenitra,MA,60.8,clear sky,34.26,-6.57,Bienvenue chez vous
311,Carora,VE,65.97,few clouds,10.17,-70.08,Hotel Irpinia
312,Muhos,FI,23.0,scattered clouds,64.81,26.0,Montta - active camping / campsite Montan
313,Hovd,NO,43.0,overcast clouds,63.83,10.7,
314,Kununurra,AU,87.8,light rain,-15.77,128.74,Hotel Kununurra
315,Henties Bay,,68.0,broken clouds,-22.12,14.28,Fishermans Guest House
316,Skegness,GB,48.2,scattered clouds,53.14,0.34,The Royal Hotel
317,La Baule-Escoublac,FR,48.2,clear sky,47.28,-2.4,Hôtel Barrière Le Royal La Baule
318,Lagoa,PT,64.0,few clouds,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
319,Dhidhdhoo,MV,82.38,broken clouds,6.88,73.1,
320,Leshukonskoye,RU,10.98,scattered clouds,64.9,45.76,Gostinitsa Mup Zhkkh
321,Pisco,PE,71.6,mist,-13.71,-76.2,Hostal San Isidro Oficial
322,Tabuk,PH,68.2,light rain,17.41,121.44,Grand Zion Garden Resort Hotel
323,Berlevag,NO,29.03,light snow,70.86,29.09,Kvitbrakka
324,Yilan,CN,14.65,clear sky,43.11,129.52,中关九龙渡假村
325,Hamilton,CA,34.0,broken clouds,43.26,-79.87,Sheraton Hamilton Hotel
326,Te Anau,NZ,45.03,moderate rain,-45.41,167.72,Kingsgate Hotel Te Anau
327,Jadu,LY,52.56,few clouds,31.95,12.03,امياس للصرافة
328,Rayagada,IN,72.05,scattered clouds,19.17,83.42,"Hotel Swagath, Rayagada"
329,Tornio,FI,24.8,scattered clouds,61.12,27.27,Mauno cottage
330,Bathsheba,BB,80.6,few clouds,13.22,-59.52,Atlantis Hotel
331,Shenjiamen,CN,59.27,broken clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
332,Pio Ix,BR,80.28,overcast clouds,-6.83,-40.61,Hotel Central
333,Jiazi,CN,69.8,broken clouds,19.61,110.49,
334,Minuri,PH,62.1,light rain,16.54,121.86,
335,Del Rio,US,44.6,clear sky,29.36,-100.9,Holiday Inn Express & Suites del Rio
336,Puerto Rico,CO,69.89,broken clouds,1.91,-75.15,Hotel Calima de Puerto Rico
337,Slave Lake,CA,1.4,clear sky,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
338,Port Macquarie,AU,73.99,overcast clouds,-31.43,152.91,Rydges Port Macquarie
339,Paragominas,BR,79.45,light rain,-3.0,-47.35,Paragominas Palace Hotel
340,Saint-Ambroise,CA,12.0,light snow,48.56,-71.32,Motel Saint-Ambroise
341,Havre-Saint-Pierre,CA,10.4,clear sky,50.23,-63.6,Auberge Niapiskau
342,Diffa,NE,76.41,few clouds,13.32,12.61,ProDAF/Diffa
343,Gombong,ID,76.93,moderate rain,-7.19,109.31,Jambe Kembar Argowisata
344,Vila Do Maio,CV,75.2,dust,15.13,-23.22,Residence 'I Delfini'
345,Mantua,IT,59.0,clear sky,45.16,10.79,Hotel la Favorita
346,Wolgast,DE,37.0,clear sky,54.05,13.77,Zum Alten Schweden
347,Aviles,ES,55.99,few clouds,43.55,-5.92,Hotel NH Collection Palacio de Avilés
348,Lynn Haven,US,42.01,clear sky,30.25,-85.65,Wingate by Wyndham Panama City Area Lynn Haven
349,Filingue,NE,78.4,clear sky,14.35,3.32,
350,Port Augusta,AU,55.0,light rain,-32.49,137.76,Majestic Oasis Apartments
352,Cayenne,GF,80.6,broken clouds,4.94,-52.33,Hôtel Le Dronmi
354,Hualmay,PE,68.67,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
355,Isla Mujeres,MX,68.0,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
356,Dauriya,RU,5.38,overcast clouds,49.93,116.85,
357,Mackenzie,CA,24.8,overcast clouds,55.34,-123.09,Williston Lake Lodge
358,Karratha,AU,85.03,broken clouds,-20.74,116.85,ibis Styles Karratha
359,Okha,RU,25.83,snow,53.59,142.95,Empire Hotel
360,Amnat Charoen,TH,79.0,few clouds,15.86,104.63,โรงแรมระเมียรดาวบูติคเพลส
361,Tromso,NO,28.4,few clouds,69.65,18.96,"Radisson Blu Hotel, Tromsø"
362,Pangody,RU,20.62,scattered clouds,65.85,74.49,Otdeleniye Politsii
363,Polis,CY,62.6,broken clouds,35.04,32.42,Marion
364,Clive,US,39.99,light rain,41.61,-93.78,Sheraton West Des Moines Hotel
365,Opuwo,,76.8,light rain,-18.06,13.84,ABBA Guesthouse
366,Balkanabat,TM,40.24,broken clouds,39.51,54.36,Nebitchi Hotel
367,Vila Franca Do Campo,PT,64.4,few clouds,37.72,-25.43,Pestana Bahia Praia
368,Terrace,CA,32.0,light snow,54.52,-128.61,Northern Motor Inn
371,Ruy Barbosa,BR,69.3,light rain,-12.29,-40.5,Flats em Ruy Barbosa - BA
372,Lompoc,US,52.0,fog,34.64,-120.46,Holiday Inn Express Lompoc
373,Mandurah,AU,78.8,clear sky,-32.55,115.7,Atrium Hotel Mandurah
374,Kikwit,CD,85.33,moderate rain,-5.04,18.82,Centre D'Accueil Protestant
375,Manaquiri,BR,82.4,broken clouds,-3.43,-60.46,Casa do Tony
376,Havre,US,30.2,clear sky,48.55,-109.68,Best Western Plus Great Northern Inn
377,Buala,SB,82.27,light rain,-8.15,159.59,Maringe Lagoon Lodge
378,Baishishan,CN,12.02,clear sky,43.58,127.55,白林宾馆
379,Hervey Bay,AU,78.8,overcast clouds,-25.3,152.85,Shelly Bay Resort
380,Havoysund,NO,28.4,shower rain,71.0,24.66,Arctic View Glamping & Restaurant
381,Hunchun,CN,17.73,clear sky,42.86,130.36,International Hotel
382,Letka,BA,42.8,broken clouds,43.74,17.27,Motel Papić
