City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Kununurra,AU,78.8,scattered clouds,-15.77,128.74,Hotel Kununurra
154,Ponta Do Sol,BR,81.46,light rain,-20.63,-46.0,Hotel Escarpas do Lago
155,Avarua,CK,80.6,light rain,-21.21,-159.78,Paradise Inn
156,Alugan,PH,79.05,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
157,Kutum,SD,63.21,scattered clouds,14.2,24.66,
158,Maraba,BR,87.8,broken clouds,-5.35,-49.1,Hotel Del Principe
159,Ahuimanu,US,77.0,light rain,21.44,-157.84,Paradise Bay Resort
160,Ancud,CL,59.0,broken clouds,-41.87,-73.83,HOTEL ANCUD DON LUCAS
161,Kudahuvadhoo,MV,82.9,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
162,Hithadhoo,MV,79.18,moderate rain,-0.6,73.08,Scoop Guest House
163,Lagos,NG,82.4,haze,6.46,3.39,"Radisson Blu Anchorage Hotel, Lagos, V.I."
164,Namibe,AO,74.88,broken clouds,-15.19,12.15,Chik-Chik Namibe
165,Zhuhai,CN,26.6,light snow,40.71,112.04,
166,Nanortalik,GL,28.2,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
167,Narsaq,GL,15.8,few clouds,60.91,-46.05,Hotel Narsaq
168,Thompson,CA,5.0,light snow,55.74,-97.86,Burntwood Hotel
169,Antsohihy,MG,75.88,light rain,-14.88,47.99,Hotel de Ville
170,Mecca,SA,62.08,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
171,Dingle,PH,72.91,light rain,11.0,122.67,Camp Pasica
172,Ponta Delgada,PT,64.4,scattered clouds,37.73,-25.67,Vila Nova Hotel
173,Arica,CL,78.8,overcast clouds,-18.48,-70.32,Hostal Jardin Del Sol
174,Te Anau,NZ,45.55,light rain,-45.41,167.72,Kingsgate Hotel Te Anau
175,Constitucion,MX,59.0,clear sky,23.99,-104.67,Hotel Posada San Agustin
176,Severo-Kurilsk,RU,19.78,snow,50.68,156.12,Kak Doma
177,Mazagao,BR,89.6,broken clouds,-0.12,-51.29,Casa Lima Santos
178,Torbay,CA,30.99,light snow,47.66,-52.73,See The Sea
179,Mar Del Plata,AR,72.23,scattered clouds,-46.43,-67.52,Hotel Costanera Del Sur
180,Mahebourg,MU,73.4,moderate rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
181,Santa Rita,BR,84.2,scattered clouds,-7.13,-34.98,Infinity Motel
182,Fare,PF,81.27,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
183,San Jose,HN,71.13,few clouds,14.25,-87.96,APUFRAM
184,Motril,ES,50.0,few clouds,36.75,-3.52,Elba Motril Hotel Beach & Business Hotel
185,Pasighat,IN,53.38,light rain,28.06,95.33,Siang Guest House
186,Zhangye,CN,21.25,overcast clouds,38.94,100.46,Zhangye Lvzhou Holiday Inn
187,Palmer,AU,61.0,overcast clouds,-34.85,139.16,Palmer Hotel
189,Mackay,CA,17.6,broken clouds,53.65,-115.58,Nojack Provincial Recreation Area
190,Ust-Kulom,RU,19.38,light snow,61.69,53.69,
191,Geraldton,CA,12.2,light snow,49.72,-86.95,Victoria Bed & Breakfast
192,Vertientes,CU,77.0,broken clouds,21.26,-78.15,
196,Sola,TZ,68.34,light rain,-3.17,33.8,Peace Hotel
198,Romilly-Sur-Seine,FR,37.4,clear sky,48.52,3.72,Auberge de Nicey
199,Luderitz,,63.39,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
200,Rapid Valley,US,41.0,clear sky,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
201,Yerbogachen,RU,4.89,overcast clouds,61.28,108.01,
202,Dunedin,NZ,54.0,light rain,-45.87,170.5,Scenic Hotel Southern Cross
203,Kirakira,SB,77.63,overcast clouds,-10.46,161.92,Freshwind
204,Santa Ana,MX,66.99,clear sky,30.54,-111.12,Hotel Los Cisnes Santa Ana
