City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Saint George,GR,42.01,overcast clouds,39.45,22.34,MX PARK KYPARISSOS
174,Saint-Philippe,CA,21.99,broken clouds,45.36,-73.48,Camping St-Andre
175,Isangel,VU,77.0,light rain,-19.55,169.27,Volcano Sea View Tree House
176,Muros,ES,46.99,clear sky,42.77,-9.06,Apartment Av. Castelao
177,Kaitangata,NZ,48.99,light rain,-46.28,169.85,Kaitangata Motor Camp
178,Houma,CN,32.97,overcast clouds,35.63,111.36,IU Hotel Linfen Houma Time Square
179,Aden,YE,77.31,broken clouds,12.79,45.03,Sama Emirate Hotel
180,Maryborough,AU,75.29,light rain,-25.54,152.7,Blue Shades Motel
184,Yuanping,CN,18.84,clear sky,38.72,112.71,Yuanping Xinghe Guesthouse
185,Buala,SB,82.31,broken clouds,-8.15,159.59,Maringe Lagoon Lodge
186,Maldonado,UY,84.2,few clouds,-34.91,-54.96,Joan Miro Hotel
187,Kencong,ID,74.79,light rain,-7.78,112.24,Silvi Octavia Home Stay
189,Constantine,DZ,44.6,broken clouds,36.36,6.61,Grand Hotel Cirta
190,Lagoa,PT,55.0,clear sky,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
191,Belomorsk,RU,18.25,scattered clouds,64.52,34.76,Chaika
192,Karratha,AU,84.25,moderate rain,-20.74,116.85,ibis Styles Karratha
194,Faya,SA,59.0,few clouds,18.39,42.45,مقبرة ال مجمل
195,Sao Goncalo Do Amarante,BR,86.0,scattered clouds,-3.61,-38.97,Albergue Parque Olaria
196,Hilo,US,78.8,overcast clouds,19.71,-155.08,Hilo Seaside Hotel
197,Chingirlau,KZ,27.54,overcast clouds,51.09,54.08,
198,Hobart,AU,60.01,scattered clouds,-42.88,147.33,St Ives Apartments
199,Balakhninskiy,RU,1.15,overcast clouds,58.01,114.28,
200,Nabire,ID,71.8,broken clouds,-3.36,135.5,Hotel Nusantara Nabire
201,Kruisfontein,ZA,65.17,light rain,-34.0,24.73,Oyster Bay House Rental
202,Danville,US,60.01,clear sky,37.82,-122.0,Best Western Danville Sycamore Inn
203,Varhaug,NO,46.4,light intensity drizzle rain,58.61,5.65,Dancenter Gurihuset
204,Norton,US,37.99,clear sky,41.97,-71.19,Extended Stay America - Foxboro - Norton
205,Tarko-Sale,RU,27.0,overcast clouds,64.92,77.78,Yubileynaya
206,Goma,CD,57.43,moderate rain,-1.67,29.23,"Goma, CENTRE D'ACCUEIL CARITAS"
207,Methoni,GR,50.0,moderate rain,36.82,21.7,Methoni Beach Hotel
208,Ankara,TR,33.01,broken clouds,39.92,32.85,Sheraton Ankara Hotel & Convention Center
209,Zima,RU,4.75,broken clouds,53.93,102.05,
210,Labuhan,ID,72.39,moderate rain,-2.54,115.51,Pondok Indah Gula Habang
211,Bud,NO,46.4,light intensity shower rain,62.91,6.91,Lisjesundet
212,Ketchikan,US,35.6,overcast clouds,55.34,-131.65,Snows Cove Lodge
213,Vila Velha,BR,86.0,scattered clouds,-3.71,-38.6,Hotel Iparana Paradise
215,Pitkyaranta,RU,26.15,broken clouds,61.57,31.48,Pitkyaranta hotel
216,Aloleng,PH,70.66,broken clouds,16.13,119.78,Agno Umbrella Rocks
217,Praia,BR,80.6,light rain,-20.25,-43.81,Hotel Pousada de Minas
219,Lebu,ET,59.0,scattered clouds,8.96,38.73,Dah-Lak Guest House
220,The Valley,AI,84.2,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
221,Osakarovka,KZ,14.05,few clouds,50.56,72.58,Motel' Osakarovka
222,Vanimo,PG,81.59,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
